Empresa,Ticker,CIK,SIC,Periodo,Ejercicio,Formulario,Fecha_10K,t0,Namespace,Revenue,Assets,Liabilities_Total,Liabilities_Current,NetIncome,Receivables,Inventory,Cash,Equity,Usar_Modelo_Financiero,Motivo_Exclusion_Financiera
Bausch Health / Valeant,BHC,0000885590,2834,t-1,2014,10-K,2015-02-25,2015-10-26,us-gaap,3288600000.0,17950400000.0,14020600000.0,2512500000.0,913500000.0,1676400000.0,883000000.0,164100000.0,3929800000.0,True,
Bausch Health / Valeant,BHC,0000885590,2834,t-2,2013,10-K,2014-02-28,2015-10-26,us-gaap,2255050000.0,13108119000.0,8197023000.0,1822752000.0,-866142000.0,769469000.0,531256000.0,394269000.0,4911096000.0,True,
Bausch Health / Valeant,BHC,0000885590,2834,t-3,2012,10-K,2013-02-28,2015-10-26,us-gaap,1133371000.0,10795117000.0,9440745000.0,924272000.0,-116025000.0,468539000.0,355212000.0,114463000.0,1354372000.0,True,
Belden Inc.,BDC,0000913142,3357,t-1,2016,10-K,2017-02-17,2018-02-01,us-gaap,2308265000.0,3232202000.0,2408103000.0,549263000.0,74449000.0,387386000.0,195942000.0,613304000.0,824099000.0,True,
Belden Inc.,BDC,0000913142,3357,t-2,2015,10-K,2016-02-25,2018-02-01,us-gaap,2069193000.0,2751753000.0,1939893000.0,523011000.0,103313000.0,379777000.0,228398000.0,395095000.0,811860000.0,True,
Belden Inc.,BDC,0000913142,3357,t-3,2014,10-K,2015-02-23,2018-02-01,us-gaap,1840739000.0,2584583000.0,1890034000.0,401566000.0,194490000.0,304204000.0,207980000.0,382552000.0,694549000.0,True,
Compass Minerals,CMP,0001227654,1400,t-1,2017,10-K,2018-02-27,2018-10-23,us-gaap,1098700000.0,1624800000.0,971200000.0,372000000.0,159200000.0,320900000.0,280600000.0,266800000.0,653600000.0,True,
Compass Minerals,CMP,0001227654,1400,t-2,2016,10-K,2017-03-01,2018-10-23,us-gaap,1282500000.0,1632200000.0,1078000000.0,170800000.0,217900000.0,147800000.0,275300000.0,159600000.0,554200000.0,True,
Compass Minerals,CMP,0001227654,1400,t-3,2015,10-K,2016-02-22,2018-10-23,us-gaap,1129600000.0,1404800000.0,901300000.0,237700000.0,130800000.0,213000000.0,199000000.0,100100000.0,503500000.0,True,
General Electric,GE,0000040545,3600,t-1,2016,10-K,2017-02-24,2017-07-01,us-gaap,112588000000.0,653931000000.0,523365000000.0,,15233000000.0,27022000000.0,22515000000.0,49558000000.0,130566000000.0,True,
General Electric,GE,0000040545,3600,t-2,2015,10-K,2016-02-26,2017-07-01,us-gaap,110062000000.0,663247000000.0,540221000000.0,,13057000000.0,23237000000.0,17689000000.0,90879000000.0,123026000000.0,True,
General Electric,GE,0000040545,3600,t-3,2014,10-K,2015-02-27,2017-07-01,us-gaap,148875000000.0,656560000000.0,540122000000.0,,13641000000.0,21388000000.0,17325000000.0,91017000000.0,116438000000.0,True,
Healthcare Services Group,HCSG,0000731012,8050,t-1,2020,10-K,2021-02-25,2021-08-24,us-gaap,2002601000.0,692603000.0,292651000.0,148651000.0,83524000.0,255474000.0,31586000.0,139330000.0,399952000.0,True,
Healthcare Services Group,HCSG,0000731012,8050,t-2,2019,10-K,2020-02-21,2021-08-24,us-gaap,1840778000.0,722592000.0,262287000.0,148651000.0,64581000.0,340930000.0,36517000.0,27329000.0,460305000.0,True,
Healthcare Services Group,HCSG,0000731012,8050,t-3,2018,10-K,2019-03-18,2021-08-24,us-gaap,1861206000.0,528446000.0,231990000.0,184168000.0,77396000.0,341838000.0,41443000.0,33189000.0,296456000.0,True,
Koppers Holdings,KOP,0001315257,2400,t-1,2021,10-K,2022-02-23,2022-11-01,us-gaap,1637000000.0,1598600000.0,1256900000.0,292100000.0,66600000.0,175100000.0,295800000.0,37400000.0,341700000.0,True,
Koppers Holdings,KOP,0001315257,2400,t-2,2020,10-K,2021-02-24,2022-11-01,us-gaap,1562700000.0,1564600000.0,1417300000.0,296200000.0,23400000.0,161700000.0,288500000.0,50900000.0,147300000.0,True,
Koppers Holdings,KOP,0001315257,2400,t-3,2019,10-K,2020-02-27,2022-11-01,us-gaap,1475500000.0,1479900000.0,1423700000.0,298700000.0,29100000.0,189700000.0,284700000.0,20800000.0,56200000.0,True,
Kraft Heinz,KHC,0001637459,2030,t-1,2017,10-K,2018-02-16,2019-02-21,us-gaap,26232000000.0,120480000000.0,63122000000.0,9501000000.0,634000000.0,769000000.0,2684000000.0,4204000000.0,57358000000.0,True,
Kraft Heinz,KHC,0001637459,2030,t-2,2016,10-K,2017-02-23,2019-02-21,us-gaap,26487000000.0,122973000000.0,65288000000.0,6932000000.0,657000000.0,871000000.0,2618000000.0,2459000000.0,57685000000.0,True,
Kraft Heinz,KHC,0001637459,2030,t-3,2015,10-K,2016-03-03,2019-02-21,us-gaap,,122973000000.0,56737000000.0,6932000000.0,276000000.0,871000000.0,2618000000.0,4837000000.0,57685000000.0,True,
